epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5021,1.20162,2.95502,1.53054,0.53393,0.34947,0.34677,0.2398,1.2466,3.57651,1.61844,0.000324074,0.000324074,0.000324074
2,48.2566,1.15718,2.00727,1.46655,0.25671,0.26558,0.16436,0.09084,1.65067,4.40404,2.13835,0.000644391,0.000644391,0.000644391
3,68.7386,1.20936,1.91432,1.48968,0.08481,0.39076,0.10481,0.05688,1.69575,6.80106,2.14122,0.000951507,0.000951507,0.000951507
4,90.1583,1.25755,1.84825,1.5236,0.43523,0.32917,0.34028,0.20222,1.55435,3.9179,2.20256,0.0009406,0.0009406,0.0009406
5,110.731,1.22768,1.78171,1.5024,0.4161,0.42647,0.37487,0.21204,1.41344,3.38135,1.84738,0.0009208,0.0009208,0.0009208
6,131.395,1.14356,1.67334,1.44185,0.32485,0.36067,0.30901,0.198,1.45477,2.55339,1.85901,0.000901,0.000901,0.000901
7,152.12,1.10688,1.58439,1.44115,0.60923,0.46213,0.48442,0.31951,1.31429,2.23373,1.68161,0.0008812,0.0008812,0.0008812
8,173.244,1.13447,1.55528,1.44033,0.56133,0.44592,0.47318,0.3224,1.308,2.14526,1.62399,0.0008614,0.0008614,0.0008614
9,194.66,1.08902,1.46333,1.40871,0.46717,0.46818,0.44838,0.29538,1.33379,1.91177,1.64824,0.0008416,0.0008416,0.0008416
10,215.817,1.06497,1.44708,1.39897,0.54595,0.49649,0.52385,0.3612,1.22709,1.7879,1.58912,0.0008218,0.0008218,0.0008218
11,236.853,1.03497,1.38166,1.37049,0.568,0.52456,0.5204,0.34671,1.21548,1.79331,1.5548,0.000802,0.000802,0.000802
12,257.913,1.0033,1.35131,1.33905,0.64032,0.49289,0.56547,0.40454,1.14177,1.64383,1.50371,0.0007822,0.0007822,0.0007822
13,279.496,0.95314,1.24372,1.30594,0.69987,0.50192,0.59543,0.42759,1.15648,1.65077,1.50234,0.0007624,0.0007624,0.0007624
14,301.072,0.9604,1.21976,1.31361,0.63919,0.56523,0.59464,0.44083,1.13874,1.73387,1.4901,0.0007426,0.0007426,0.0007426
15,322.541,0.91783,1.17519,1.29609,0.57559,0.58036,0.59395,0.43408,1.11081,1.6054,1.48542,0.0007228,0.0007228,0.0007228
16,343.66,0.91537,1.13995,1.27376,0.60962,0.58489,0.62471,0.44563,1.16589,1.48662,1.48686,0.000703,0.000703,0.000703
17,365.548,0.89531,1.1078,1.27067,0.58278,0.57408,0.58039,0.42409,1.11112,1.64903,1.45278,0.0006832,0.0006832,0.0006832
18,386.902,0.92194,1.1047,1.27904,0.62209,0.58354,0.57065,0.4112,1.07885,1.64434,1.45471,0.0006634,0.0006634,0.0006634
19,408.03,0.86938,1.08111,1.26234,0.59854,0.62442,0.60792,0.45941,1.01166,1.46578,1.39428,0.0006436,0.0006436,0.0006436
20,429.613,0.82,0.99238,1.21565,0.6619,0.57404,0.6288,0.46258,1.02627,1.47869,1.39139,0.0006238,0.0006238,0.0006238
21,456.318,0.8455,0.99247,1.24923,0.67444,0.58924,0.64573,0.48463,0.99285,1.36796,1.36457,0.000604,0.000604,0.000604
22,482.803,0.80125,0.94616,1.20588,0.66987,0.5324,0.58754,0.44499,1.05771,1.65218,1.42815,0.0005842,0.0005842,0.0005842
23,504.49,0.82116,0.94425,1.22401,0.74104,0.57617,0.64293,0.49215,1.01365,1.38774,1.38247,0.0005644,0.0005644,0.0005644
24,532.108,0.80835,0.94756,1.21653,0.69303,0.55392,0.63818,0.47793,1.03721,1.44388,1.40878,0.0005446,0.0005446,0.0005446
25,558.306,0.79242,0.89555,1.20816,0.63762,0.58646,0.60775,0.46955,0.96385,1.59462,1.35222,0.0005248,0.0005248,0.0005248
26,584.39,0.77178,0.85185,1.18089,0.71763,0.5519,0.63106,0.4601,1.00704,1.5415,1.38169,0.000505,0.000505,0.000505
27,605.478,0.75134,0.85379,1.18631,0.68489,0.60125,0.64095,0.48903,1.00393,1.48391,1.38892,0.0004852,0.0004852,0.0004852
28,627.192,0.73349,0.82156,1.17128,0.74775,0.52741,0.6397,0.50057,0.94758,1.41042,1.33425,0.0004654,0.0004654,0.0004654
29,653.119,0.72937,0.81702,1.1598,0.77766,0.5487,0.65287,0.50341,0.97982,1.41154,1.32576,0.0004456,0.0004456,0.0004456
30,679.583,0.70623,0.75709,1.14187,0.67846,0.60223,0.62625,0.50041,0.96204,1.54154,1.33261,0.0004258,0.0004258,0.0004258
31,700.949,0.68845,0.72928,1.13095,0.69891,0.60192,0.65003,0.49869,0.95497,1.41578,1.3736,0.000406,0.000406,0.000406
32,722.545,0.68435,0.72138,1.12576,0.64476,0.60635,0.62339,0.47933,0.96349,1.48952,1.34616,0.0003862,0.0003862,0.0003862
33,749.573,0.68063,0.7242,1.13514,0.76978,0.53879,0.64638,0.52788,0.86662,1.43636,1.27557,0.0003664,0.0003664,0.0003664
34,773.244,0.67541,0.69137,1.12094,0.73308,0.63506,0.69439,0.55369,0.89546,1.26495,1.27983,0.0003466,0.0003466,0.0003466
35,800.472,0.67085,0.67285,1.12507,0.67742,0.63385,0.66359,0.53673,0.89158,1.41433,1.27688,0.0003268,0.0003268,0.0003268
36,821.879,0.65615,0.62823,1.11246,0.70362,0.59514,0.64809,0.51674,0.94545,1.58177,1.33799,0.000307,0.000307,0.000307
37,847.903,0.65434,0.65766,1.11546,0.78809,0.59828,0.67509,0.54463,0.9005,1.39869,1.29802,0.0002872,0.0002872,0.0002872
38,874.015,0.63518,0.61108,1.10356,0.75483,0.58587,0.65923,0.52447,0.88716,1.5382,1.26851,0.0002674,0.0002674,0.0002674
39,900.322,0.6122,0.59687,1.0985,0.75099,0.5812,0.66687,0.53838,0.89437,1.49911,1.31209,0.0002476,0.0002476,0.0002476
40,921.581,0.61585,0.59716,1.0961,0.74938,0.58873,0.64998,0.53473,0.89325,1.53365,1.31816,0.0002278,0.0002278,0.0002278
41,948.92,0.54457,0.52882,1.04481,0.75041,0.58975,0.65994,0.54461,0.88258,1.41445,1.31191,0.000208,0.000208,0.000208
42,970.706,0.49834,0.4472,1.00059,0.78295,0.58798,0.6718,0.54003,0.89814,1.42157,1.31896,0.0001882,0.0001882,0.0001882
43,992.289,0.50354,0.4601,1.007,0.75466,0.61442,0.67548,0.53644,0.91478,1.47174,1.34705,0.0001684,0.0001684,0.0001684
44,1013.82,0.49967,0.43298,0.99698,0.74353,0.60525,0.6626,0.53392,0.89734,1.50755,1.31267,0.0001486,0.0001486,0.0001486
45,1039.78,0.48516,0.42337,0.99399,0.70994,0.61346,0.66826,0.54834,0.85546,1.44418,1.28133,0.0001288,0.0001288,0.0001288
46,1076.21,0.46088,0.40283,0.97768,0.71426,0.63456,0.66425,0.55036,0.83922,1.46095,1.29272,0.000109,0.000109,0.000109
47,1102.65,0.45202,0.38227,0.97144,0.76001,0.62249,0.67164,0.55652,0.83059,1.43748,1.25787,8.92e-05,8.92e-05,8.92e-05
48,1131.24,0.44254,0.37663,0.978,0.7357,0.65087,0.67482,0.55194,0.83241,1.4443,1.26352,6.94e-05,6.94e-05,6.94e-05
49,1152.31,0.43339,0.36006,0.96429,0.74717,0.65565,0.67648,0.55447,0.83524,1.45089,1.26851,4.96e-05,4.96e-05,4.96e-05
50,1173.52,0.43328,0.35779,0.97168,0.77862,0.6222,0.68095,0.56284,0.84097,1.41543,1.27663,2.98e-05,2.98e-05,2.98e-05
