epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9961,0.56917,0.57209,1.06187,0.71921,0.58503,0.64698,0.52211,0.89597,1.60322,1.32423,0.000324074,0.000324074,0.000324074
2,47.8791,0.66444,0.691,1.12216,0.71894,0.58073,0.63799,0.4935,0.95752,1.43919,1.33599,0.000644391,0.000644391,0.000644391
3,73.9963,0.70605,0.77556,1.13905,0.62431,0.58069,0.59654,0.43516,1.05212,1.72831,1.45625,0.000951507,0.000951507,0.000951507
4,120.342,0.76919,0.86256,1.18021,0.55004,0.56117,0.52666,0.38541,1.27224,1.97771,1.62518,0.0009406,0.0009406,0.0009406
5,146.841,0.75745,0.86344,1.17286,0.7716,0.5489,0.65272,0.49712,1.01504,1.44281,1.4131,0.0009208,0.0009208,0.0009208
6,173.719,0.75959,0.8598,1.16595,0.66002,0.43225,0.50996,0.37798,1.1623,2.03524,1.53364,0.000901,0.000901,0.000901
7,200.368,0.75532,0.86953,1.1792,0.60868,0.60138,0.60201,0.43837,1.12581,1.68732,1.50155,0.0008812,0.0008812,0.0008812
8,227.486,0.77241,0.85042,1.17651,0.6416,0.46508,0.54291,0.39167,1.14478,1.93783,1.50315,0.0008614,0.0008614,0.0008614
9,253.985,0.72732,0.81014,1.15649,0.73136,0.52554,0.62074,0.45012,1.14755,1.613,1.54281,0.0008416,0.0008416,0.0008416
10,280.64,0.74933,0.79414,1.17247,0.75667,0.57815,0.64882,0.47839,1.08591,1.40556,1.45292,0.0008218,0.0008218,0.0008218
11,307.13,0.73596,0.80819,1.16121,0.77869,0.56848,0.65383,0.47189,1.03656,1.40727,1.40633,0.000802,0.000802,0.000802
12,331.683,0.75157,0.8016,1.16734,0.71564,0.55885,0.6192,0.46835,1.0921,1.51182,1.49962,0.0007822,0.0007822,0.0007822
